"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.373392916E-1,-3.316203918E0,1.101110229E0,5.535339203E0,6.545963050E0
6.472602916E-1,-3.454516296E0,1.311722260E0,4.340374146E0,5.700275945E0
6.571812916E-1,-3.622017975E0,1.690135345E0,4.262086945E0,5.843026341E0
6.671022916E-1,-4.960384827E0,2.349663849E0,5.278473358E0,7.615025858E0
6.770232916E-1,-5.926924896E0,2.826422424E0,5.704038391E0,8.697882295E0
6.869442916E-1,-7.723638611E0,3.658991089E0,7.673043823E0,1.148557403E1
6.968652916E-1,-7.970774689E0,3.701652374E0,9.094188538E0,1.264672861E1
7.067862917E-1,-5.794899445E0,2.259850616E0,9.326505432E0,1.121032952E1
7.167072917E-1,-2.795137482E0,7.753875732E-1,9.403894501E0,9.841100102E0
7.266282917E-1,-1.335522766E0,7.000941467E-1,9.236542511E0,9.358817790E0
7.365492916E-1,-6.017486572E-1,1.527274017E0,9.352102203E0,9.495076777E0
7.464702916E-1,9.268725586E-1,1.684297485E0,1.147843048E1,1.163831247E1
7.563912916E-1,1.584754486E0,1.812730408E-1,1.041953247E1,1.054091854E1
7.663122916E-1,1.378782806E0,-4.056564331E-2,8.944499817E0,9.050235609E0
7.762332916E-1,2.891986084E-1,4.541555786E-1,8.034392395E0,8.052412948E0
7.861542916E-1,-7.563771057E-1,8.746311951E-1,6.946903839E0,7.042482446E0
7.960752916E-1,-6.230044556E-1,9.758207703E-1,5.855373688E0,5.968732005E0
8.059962916E-1,7.330256653E-1,-9.026229858E-2,4.722080383E0,4.779489204E0
8.159172916E-1,8.957373047E-1,-3.706292725E-1,5.114414520E0,5.205472818E0
8.258382917E-1,3.990701294E-1,7.334747314E-3,6.703959045E0,6.715830377E0
8.357592917E-1,1.273252258E0,4.812492371E-1,9.307794342E0,9.406795823E0
8.456802916E-1,3.262166290E0,1.706451416E-2,9.791438599E0,1.032057605E1
