time,seconds_elapsed,z,y,x
1741033205344714000,0.1797138671875,-1.1025700569152832,1.0204317569732666,-4.153874397277832
1741033205354817500,0.189817626953125,-0.8033251762390137,1.6660645008087158,-3.1251134872436523
1741033205364920800,0.1999208984375,-0.6964526176452637,2.1006569862365723,-2.525296926498413
1741033205375024400,0.2100244140625,-0.9008665084838867,2.1965034008026123,-2.3824188709259033
1741033205385128000,0.2201279296875,-1.0063652992248535,1.9813780784606934,-2.587486982345581
1741033205395231500,0.2302314453125,-0.7864241600036621,1.4526994228363037,-2.946208953857422
1741033205405334800,0.240334716796875,-0.598790168762207,0.7271311283111572,-3.326327323913574
1741033205415438300,0.250438232421875,-0.678534984588623,0.02269911766052246,-3.6750097274780273
1741033205425542000,0.2605419921875,-0.7387409210205078,-0.5608105659484863,-3.887230634689331
1741033205435645400,0.2706455078125,-0.5524063110351562,-0.9616818428039551,-3.9395041465759277
1741033205445748700,0.280748779296875,-0.18387222290039062,-1.2783043384552002,-3.8376355171203613
1741033205455852300,0.290852294921875,0.2102503776550293,-1.464996337890625,-3.543273448944092
1741033205465956400,0.300956298828125,0.4162783622741699,-1.472374439239502,-3.2120845317840576
1741033205476060200,0.31106005859375,0.5961618423461914,-1.2845911979675293,-2.906670093536377
1741033205486163700,0.321163818359375,0.926945686340332,-0.9694082736968994,-2.708463430404663
1741033205496267000,0.33126708984375,1.0355992317199707,-0.6669869422912598,-2.6632814407348633
1741033205506370600,0.34137060546875,0.9669055938720703,-0.3901081085205078,-2.5946600437164307
1741033205516474000,0.35147412109375,1.0132403373718262,-0.1300797462463379,-2.400864601135254
1741033205526577700,0.36157763671875,1.3183245658874512,0.09409141540527344,-2.0377604961395264
1741033205536859400,0.371859375,1.6122379302978516,0.2729158401489258,-1.7088675498962402
1741033205547164700,0.38216455078125,1.7127208709716797,0.32671499252319336,-1.5115355253219604
1741033205557450800,0.39245068359375,1.7913398742675781,0.31327295303344727,-1.4080897569656372
1741033205567585500,0.40258544921875,1.6077804565429688,0.25315356254577637,-1.2217963933944702
1741033205577689000,0.412689208984375,1.396082878112793,0.28043246269226074,-1.0070464611053467
1741033205587792600,0.422792724609375,1.304814338684082,0.32512378692626953,-0.920562744140625
1741033205597896200,0.432896240234375,1.359182357788086,0.4293384552001953,-0.9960358142852783
1741033205607999500,0.44299951171875,1.687556266784668,0.4716532230377197,-1.159399390220642
1741033205618103000,0.45310302734375,2.403074264526367,0.49341273307800293,-1.4978156089782715
1741033205628206600,0.46320654296875,3.109882354736328,0.5266420841217041,-1.922830581665039
1741033205638310100,0.47331005859375,3.2567996978759766,0.6255607604980469,-2.1962482929229736
1741033205648413400,0.483413330078125,2.8836822509765625,0.9293854236602783,-2.3012404441833496
1741033205658517000,0.49351708984375,2.308368682861328,1.3095781803131104,-2.396599054336548
1741033205668620500,0.50362060546875,1.4513511657714844,1.6668939590454102,-2.3750157356262207
1741033205678724000,0.51372412109375,0.4284238815307617,1.8935320377349854,-2.0173451900482178
1741033205688827400,0.523827392578125,0.12717437744140625,1.9703586101531982,-1.5006983280181885
1741033205698931000,0.533930908203125,1.1003751754760742,1.6736316680908203,-1.0505112409591675
1741033205709035300,0.54403515625,3.001051902770996,1.1025121212005615,-0.7583892345428467
1741033205719138800,0.554138916015625,5.032410621643066,0.5112199783325195,-0.7201153039932251
1741033205729278000,0.56427783203125,6.381584167480469,-0.09828567504882812,-0.9709371328353882
1741033205739583500,0.57458349609375,6.457244873046875,-0.8117451667785645,-1.2147960662841797
1741033205749888800,0.584888671875,5.478911399841309,-1.5206108093261719,-1.540877103805542
1741033205760126700,0.595126708984375,3.8647937774658203,-1.8946435451507568,-2.133084297180176
1741033205770250200,0.605250244140625,1.7576837539672852,-1.9236568212509155,-2.7472081184387207
1741033205780353800,0.615353759765625,-0.1562671661376953,-1.730149745941162,-3.2258200645446777
1741033205790457300,0.625457275390625,-1.1818418502807617,-1.46128511428833,-3.468931198120117
1741033205800561000,0.635560791015625,-1.384791374206543,-1.301504135131836,-3.522326946258545
1741033205810664200,0.645664306640625,-1.016972541809082,-1.3282150030136108,-3.4846625328063965
1741033205820767700,0.655767822265625,-0.43671417236328125,-1.523226261138916,-3.3632559776306152
1741033205830871300,0.665871337890625,0.0895376205444336,-1.754238247871399,-3.215634822845459
1741033205840974800,0.675974853515625,0.5119791030883789,-1.9471940994262695,-3.0293772220611572
1741033205851078100,0.686078125,0.6254463195800781,-1.9706181287765503,-2.8171017169952393
1741033205861181700,0.696181640625,0.49085140228271484,-1.8800619840621948,-2.5261430740356445
1741033205871285200,0.70628515625,0.14638042449951172,-1.6987961530685425,-2.2167088985443115
1741033205881388800,0.716388916015625,-0.21210670471191406,-1.4733502864837646,-2.0291831493377686
1741033205891492000,0.7264921875,-0.9418554306030273,-1.2855740785598755,-1.7152111530303955
1741033205901595600,0.736595703125,-1.7070908546447754,-0.8853824138641357,-1.372721552848816
1741033205911699200,0.74669921875,-2.2331719398498535,-0.4340379238128662,-1.0537135601043701
1741033205921802800,0.756802734375,-2.570591449737549,0.025273561477661133,-0.7420426607131958
1741033205931906000,0.766906005859375,-2.8662590980529785,0.46100330352783203,-0.4432324171066284
1741033205942010000,0.777010009765625,-2.9357705116271973,0.7763879299163818,-0.33727139234542847
1741033205952114000,0.787114013671875,-2.908578872680664,0.8622980117797852,-0.40594661235809326
1741033205962217500,0.797217529296875,-2.9232077598571777,0.7151343822479248,-0.5881175398826599
1741033205972320800,0.80732080078125,-2.807372570037842,0.354398250579834,-0.6910301446914673
