"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.200357917E-1,-3.728296967E0,-7.760012970E0,9.446855164E-1,8.660856210E0
6.300617916E-1,-4.107159119E0,-8.245154114E0,1.356928253E0,9.310884849E0
6.400877917E-1,-4.465663605E0,-8.695866852E0,1.857637024E0,9.950430496E0
6.501137083E-1,-4.767585754E0,-9.059011688E0,2.429148560E0,1.052123231E1
6.601397083E-1,-5.054988098E0,-9.532028046E0,2.790197754E0,1.114440069E1
6.701657084E-1,-5.212460632E0,-1.002585114E1,3.038830719E0,1.170136441E1
6.801917084E-1,-5.314398651E0,-1.051114197E1,3.111729126E0,1.218235596E1
6.902167083E-1,-4.902904358E0,-1.077773758E1,2.620001678E0,1.212693314E1
7.002427083E-1,-4.128265228E0,-1.064451462E1,1.696122894E0,1.154231771E1
7.102687083E-1,-3.787274323E0,-1.028750702E1,8.544232178E-1,1.099573947E1
7.202947084E-1,-4.143383789E0,-9.980046387E0,-5.682183838E-1,1.082089771E1
7.303207084E-1,-4.390070801E0,-9.525292053E0,-1.454525299E0,1.058865214E1
7.403467083E-1,-4.279001770E0,-8.944499817E0,-5.418731689E-2,9.915486341E0
7.503727083E-1,-4.293222198E0,-8.792116699E0,5.468128967E-1,9.799595769E0
7.603987084E-1,-4.579277344E0,-8.814570007E0,4.372407532E-1,9.942716172E0
7.704247084E-1,-5.087171173E0,-8.814570007E0,2.917433167E-1,1.018140801E1
7.804507083E-1,-5.419031067E0,-8.713380432E0,-1.785786438E-1,1.026259161E1
7.904767083E-1,-5.390889587E0,-8.586145020E0,-1.013991394E0,1.018880540E1
8.005027083E-1,-5.132377167E0,-8.608748016E0,-1.630409546E0,1.015431303E1
8.105287084E-1,-5.027744751E0,-8.702004089E0,-1.323248291E0,1.013676864E1
8.205547084E-1,-5.140011292E0,-8.720864868E0,-3.210823059E-1,1.012799556E1
8.305807083E-1,-5.431754608E0,-8.652157745E0,6.824308777E-1,1.023862802E1
8.406067083E-1,-5.676495667E0,-8.455766144E0,1.241667938E0,1.025984032E1
8.506317084E-1,-5.833968201E0,-8.130642242E0,1.374741211E0,1.010111091E1
8.606577084E-1,-6.034551086E0,-7.835605774E0,1.203197937E0,9.962941831E0
8.706837083E-1,-6.331982574E0,-7.655230865E0,7.158114624E-1,9.960368918E0
8.807097083E-1,-6.664740601E0,-7.524552612E0,-1.362167358E-2,1.005175830E1
8.907357083E-1,-6.980134735E0,-7.386090546E0,-8.547225952E-1,1.019839032E1
9.007617084E-1,-7.248227234E0,-7.223229218E0,-1.628014526E0,1.036157660E1
9.107877084E-1,-7.357350311E0,-7.074588318E0,-2.085912323E0,1.041784208E1
9.208137083E-1,-7.259453888E0,-7.008874969E0,-2.136656799E0,1.031451896E1
9.308397083E-1,-6.898853760E0,-6.954238586E0,-1.964365082E0,9.990713072E0
9.408657084E-1,-6.423741760E0,-6.816974030E0,-1.950593719E0,9.567675213E0
9.508917084E-1,-6.236331482E0,-6.543193359E0,-2.483934631E0,9.374174147E0
9.609177083E-1,-6.340365143E0,-6.264023895E0,-3.427871704E0,9.549268554E0
9.709437083E-1,-6.437962189E0,-6.149512024E0,-3.653003540E0,9.623320120E0
9.809697083E-1,-5.800437927E0,-6.572682037E0,-1.904489594E0,8.970635982E0
9.909957084E-1,-4.210893402E0,-7.428452454E0,2.218835907E0,8.822514487E0
1.001020708E0,-2.539169769E0,-7.846682739E0,6.043682098E0,1.022467146E1
1.011046708E0,-1.910926208E0,-7.640261993E0,6.884783020E0,1.046066344E1
1.021072708E0,-2.109413452E0,-7.001390533E0,4.455784149E0,8.562891270E0
1.031098708E0,-2.875969391E0,-6.096372528E0,6.429130554E-1,6.771284600E0
1.041124708E0,-3.613186340E0,-5.331463165E0,-2.421514435E0,6.880650200E0
1.051150708E0,-3.514541473E0,-5.231022034E0,-2.017953644E0,6.617229798E0
1.061176708E0,-2.943179626E0,-5.513634338E0,1.936972046E-1,6.252998364E0
1.071202708E0,-2.575394440E0,-6.051765289E0,2.289638672E0,6.964119821E0
1.081228708E0,-2.457739105E0,-6.527476044E0,3.936813354E0,8.009177511E0
1.091254708E0,-2.883902893E0,-6.596332855E0,3.829037476E0,8.154141955E0
1.101280708E0,-4.144730988E0,-6.378386078E0,1.727557526E0,7.800452482E0
1.111306708E0,-5.472170563E0,-6.032455444E0,-5.379812622E-1,8.162388939E0
1.121332708E0,-5.709876251E0,-5.835165710E0,-3.748205566E-1,8.172657837E0
1.131358708E0,-5.102738800E0,-5.757926331E0,1.855840759E0,7.914278477E0
1.141384708E0,-4.149670715E0,-5.732479248E0,4.801565094E0,8.551965431E0
1.151410708E0,-4.010460205E0,-5.616021423E0,4.842130737E0,8.430285746E0
1.161435708E0,-5.788911896E0,-5.757177887E0,2.927911377E-1,8.169597592E0
1.171461708E0,-7.589367828E0,-6.144572296E0,-2.747985535E0,1.014424454E1
1.181487708E0,-7.240144043E0,-6.142326965E0,-1.354682922E-1,9.495589396E0
1.191513708E0,-7.751929779E0,-6.184838562E0,3.215313721E-1,9.922097851E0
1.201539708E0,-9.145531769E0,-6.082750854E0,-2.381397858E0,1.123884625E1
1.211565708E0,-1.143307480E1,-6.400839386E0,-7.137008514E0,1.492055075E1
1.221591708E0,-1.112366821E1,-7.134463806E0,-4.010160828E0,1.381006728E1
1.231617708E0,-9.611363068E0,-7.605384521E0,1.086740112E-1,1.225691575E1
1.241643708E0,-9.662107544E0,-8.440647583E0,-8.876541138E-2,1.282999350E1
1.251669708E0,-1.130419281E1,-9.511520691E0,-2.154619446E0,1.492970817E1
1.261695708E0,-1.221310272E1,-1.021311172E1,-3.252885590E0,1.624957827E1
1.271721708E0,-1.128158981E1,-1.050964508E1,-3.340752869E0,1.577616995E1
1.281747708E0,-9.204209747E0,-1.084614532E1,-1.984423370E0,1.436294822E1
1.291773708E0,-7.595056000E0,-1.173005722E1,-3.202290802E0,1.433644951E1
1.301799708E0,-6.695277100E0,-1.266830612E1,-4.403243408E0,1.499003896E1
1.311825708E0,-5.976322174E0,-1.308009979E1,-3.193159790E0,1.473097779E1
1.321850708E0,-6.261778564E0,-1.333831284E1,-1.428629150E0,1.480410218E1
1.331876708E0,-8.113428040E0,-1.492606110E1,-3.059338074E0,1.726193975E1
1.341902708E0,-9.266180878E0,-1.694176941E1,-2.897075500E0,1.952635924E1
1.351928708E0,-1.033316208E1,-1.892469589E1,-1.729204102E0,2.163119275E1
