"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.416233333E-1,-1.075169174E1,-1.280736694E0,1.171164551E0,1.089085801E1
6.516483333E-1,-1.090497299E1,-9.279203796E-1,1.115330658E0,1.100106516E1
6.616743333E-1,-1.079195801E1,-5.825885010E-1,1.405726776E0,1.089870794E1
6.717003334E-1,-1.046264282E1,-2.384541321E-1,1.445993042E0,1.056478353E1
6.817263333E-1,-1.024529480E1,-7.155120850E-2,1.366957397E0,1.033633192E1
6.917523333E-1,-1.007764343E1,1.134640503E-1,1.367406464E0,1.017062297E1
7.017783333E-1,-9.904303894E0,2.796185303E-1,1.404678955E0,1.000732457E1
7.118043334E-1,-9.702523499E0,3.944297791E-1,1.562899933E0,9.835506763E0
7.218303334E-1,-9.523944855E0,5.031037903E-1,1.920655975E0,9.728697672E0
7.318563333E-1,-9.264534302E0,6.951544189E-1,2.286345520E0,9.567769402E0
7.418823333E-1,-8.922794952E0,8.427474976E-1,2.529440002E0,9.312602205E0
7.519083333E-1,-8.570727081E0,8.771759033E-1,2.632276154E0,9.008644627E0
7.619343334E-1,-8.307723999E0,8.391549683E-1,2.764900360E0,8.795858861E0
7.719603333E-1,-8.113428040E0,8.328680420E-1,2.880310364E0,8.649715112E0
7.819863333E-1,-7.949967957E0,8.617579651E-1,2.997067566E0,8.539732507E0
7.920123333E-1,-7.770940247E0,8.146060181E-1,3.203488312E0,8.444728098E0
8.020383334E-1,-7.560178528E0,7.415579224E-1,3.356769562E0,8.305065287E0
8.120643334E-1,-7.381899261E0,6.159690857E-1,3.389850769E0,8.146345368E0
8.220903333E-1,-7.196285248E0,4.519102478E-1,3.367247772E0,7.957958394E0
8.321163333E-1,-7.016509094E0,2.613565063E-1,3.276237030E0,7.748124687E0
8.421423333E-1,-6.913223877E0,9.415420532E-2,3.204835510E0,7.620531480E0
8.521683334E-1,-6.853947144E0,-1.074765015E-1,3.176993408E0,7.555225328E0
8.621943333E-1,-6.822063446E0,-2.691403198E-1,3.094215546E0,7.495809230E0
8.722203333E-1,-6.875352631E0,-4.418811035E-1,2.992277527E0,7.511288671E0
8.822463333E-1,-7.004084930E0,-6.170169067E-1,3.050805817E0,7.664550326E0
8.922723334E-1,-7.111711121E0,-6.962022400E-1,3.118016052E0,7.796355349E0
9.022983334E-1,-7.110962677E0,-6.953041077E-1,3.084336090E0,7.782182670E0
9.123243333E-1,-7.091652832E0,-8.014334106E-1,3.039429474E0,7.757059168E0
9.223503333E-1,-7.056026917E0,-9.556127930E-1,3.050356750E0,7.746314476E0
9.323763333E-1,-7.039112091E0,-1.084345093E0,3.016676788E0,7.734677896E0
9.424023334E-1,-7.041207733E0,-1.273551636E0,2.982847137E0,7.752284641E0
9.524283333E-1,-6.999743958E0,-1.458267517E0,2.967728577E0,7.741470954E0
9.624543333E-1,-6.930587769E0,-1.646276550E0,2.903811493E0,7.692554484E0
9.724803333E-1,-6.902595978E0,-1.847757568E0,2.824027405E0,7.683434782E0
9.825063333E-1,-6.935377808E0,-2.038610687E0,2.700534210E0,7.716753455E0
9.925323334E-1,-7.166796570E0,-2.207758942E0,2.915038147E0,8.045782747E0
1.002558333E0,-7.473658447E0,-2.319726105E0,3.084785156E0,8.411456428E0
1.012584333E0,-7.543862457E0,-2.373015289E0,3.056044922E0,8.478235247E0
1.022610333E0,-7.643555145E0,-2.590812378E0,2.774929504E0,8.534428967E0
1.032636333E0,-7.877069550E0,-3.015778656E0,2.595153351E0,8.824849376E0
1.042662333E0,-8.154592438E0,-3.304079132E0,2.562521210E0,9.164105613E0
1.052688333E0,-8.413254547E0,-3.417243805E0,2.611469421E0,9.448818965E0
1.062714333E0,-8.729846191E0,-3.538491669E0,2.619702301E0,9.777217291E0
1.072740333E0,-8.911568298E0,-3.698658600E0,2.605182495E0,9.994153331E0
1.082766333E0,-8.891809387E0,-3.780089264E0,2.345622253E0,9.942599900E0
1.092792333E0,-9.132957916E0,-4.121080170E0,2.182311859E0,1.025459444E1
1.102817333E0,-9.769284668E0,-4.473148041E0,2.010768585E0,1.093120152E1
1.112843333E0,-1.023601410E1,-4.320166168E0,1.704206085E0,1.124029087E1
1.122869333E0,-1.003887405E1,-3.794609070E0,1.419049072E0,1.082551387E1
1.132895333E0,-1.020353165E1,-4.236490173E0,1.394949188E0,1.113578871E1
1.142921333E0,-1.056892181E1,-4.702471161E0,1.379381561E0,1.164980845E1
1.152947333E0,-1.076830719E1,-5.211562500E0,1.554367676E0,1.206370102E1
1.162973333E0,-1.090272766E1,-5.854774933E0,1.764231262E0,1.250041487E1
1.172999333E0,-1.128158981E1,-6.199508057E0,1.682201843E0,1.298221753E1
1.183025333E0,-1.170041885E1,-6.424190826E0,1.493893433E0,1.343137174E1
1.193051333E0,-1.211176346E1,-6.314169617E0,2.367177429E0,1.386243417E1
1.203077333E0,-1.254077133E1,-6.144721985E0,3.313210144E0,1.435290616E1
1.213103333E0,-1.278880554E1,-6.157744904E0,3.608246613E0,1.464550488E1
1.223129333E0,-1.272054749E1,-6.037095795E0,3.456761627E0,1.449855355E1
1.233155333E0,-1.232492020E1,-5.745801544E0,3.220103760E0,1.397451113E1
1.243181333E0,-1.204081100E1,-5.608237610E0,3.074306946E0,1.363395841E1
1.253207333E0,-1.180175812E1,-5.636229401E0,2.882256317E0,1.339238508E1
1.263233333E0,-1.181957108E1,-6.090085602E0,2.303260345E0,1.349431033E1
1.273259333E0,-1.180340469E1,-6.448290710E0,1.600920868E0,1.354487959E1
1.283285333E0,-1.135748199E1,-6.061345367E0,1.206491089E0,1.293011700E1
1.293311333E0,-1.111229187E1,-5.920937347E0,8.479866028E-1,1.261981026E1
1.303337333E0,-1.088880661E1,-5.883365479E0,6.270460510E-1,1.239246890E1
1.313363333E0,-1.096170502E1,-6.534810791E0,6.364764404E-1,1.277763011E1
1.323389333E0,-1.116348541E1,-7.252268829E0,4.700225830E-1,1.332065055E1
1.333415333E0,-1.138876694E1,-7.563022614E0,6.653663635E-1,1.368744081E1
1.343441333E0,-1.153755753E1,-7.586673431E0,1.048120422E0,1.384815525E1
1.353467333E0,-1.143621826E1,-7.495063934E0,1.244512024E0,1.372996292E1
1.363493333E0,-1.153665939E1,-7.470514984E0,1.569336548E0,1.383350719E1
1.373519333E0,-1.159264297E1,-7.554789734E0,1.667831726E0,1.393721212E1
1.383545333E0,-1.119731506E1,-7.629634094E0,1.665586395E0,1.365156984E1
1.393571333E0,-1.031819321E1,-7.054979095E0,1.434167633E0,1.258152129E1
1.403597333E0,-8.546776886E0,-5.134023743E0,1.417402496E0,1.007048285E1
1.413623333E0,-7.372019806E0,-3.988455963E0,1.954186249E0,8.606584740E0
1.423649333E0,-7.415878601E0,-4.226461029E0,1.856439514E0,8.735250193E0
1.433675333E0,-7.661068726E0,-4.509522400E0,1.421893158E0,9.002752160E0
1.443701333E0,-7.755522308E0,-4.398303680E0,1.546733551E0,9.049065489E0
1.453727333E0,-7.966284027E0,-4.262685699E0,1.672771454E0,9.188598093E0
1.463752583E0,-8.237070923E0,-4.369862823E0,1.328337708E0,9.418573116E0
1.473778583E0,-8.214467926E0,-4.499493256E0,1.016236725E0,9.421022235E0
1.483804583E0,-7.962691498E0,-4.510869598E0,7.017407227E-1,9.178498813E0
1.493830583E0,-7.590116272E0,-4.683460693E0,1.338217163E-1,8.919785723E0
1.503855583E0,-7.484735413E0,-5.099745026E0,-1.669029236E-1,9.058505401E0
1.513881583E0,-7.133116608E0,-5.377866669E0,-4.652325439E-1,8.945347604E0
1.523907583E0,-6.576573944E0,-5.569767609E0,-5.227130127E-1,8.634052638E0
1.533933583E0,-6.146518250E0,-5.696254578E0,-3.845503235E-1,8.388973820E0
1.543959583E0,-5.858966217E0,-5.487738190E0,3.832031250E-2,8.027715990E0
1.553985583E0,-6.099366302E0,-5.635480957E0,3.378474426E-1,8.311140463E0
1.564011583E0,-6.547085266E0,-6.416107635E0,3.150947571E-1,9.172243312E0
1.574037583E0,-6.697971497E0,-6.491700439E0,1.773811340E-1,9.329333354E0
1.584063583E0,-6.790030060E0,-6.252946930E0,-7.574249268E-2,9.230904097E0
1.594089583E0,-6.840774536E0,-6.009104004E0,-2.459385681E-1,9.108568107E0
1.604115583E0,-6.768923950E0,-5.654940491E0,-3.903881836E-1,8.828877977E0
1.614141583E0,-6.738387451E0,-5.310357056E0,-3.646417236E-1,8.587125310E0
1.624167583E0,-6.780899048E0,-5.037624207E0,-5.065466309E-1,8.462555113E0
1.634193583E0,-6.792425079E0,-4.904850311E0,-2.177970886E-1,8.381051879E0
1.644219583E0,-6.732549591E0,-4.897665253E0,2.303709412E-1,8.328710566E0
1.654245583E0,-6.658753052E0,-4.881349182E0,5.783972168E-1,8.276539457E0
1.664271583E0,-6.794520721E0,-5.050647125E0,9.482780457E-1,8.519024561E0
1.674297583E0,-7.064259796E0,-5.408253479E0,1.223555603E0,8.980537872E0
1.684323583E0,-7.052284698E0,-5.654491425E0,1.471440125E0,9.158227382E0
1.694349583E0,-6.994055786E0,-5.668412476E0,1.303788757E0,9.096569763E0
1.704375583E0,-7.000791779E0,-5.883215790E0,1.356179810E0,9.244595028E0
1.714401583E0,-6.706503754E0,-5.792803802E0,1.588646393E0,9.003197535E0
1.724427583E0,-6.378236389E0,-5.409001923E0,1.268761597E0,8.458661669E0
1.734453583E0,-6.218817902E0,-5.367089081E0,8.824150085E-1,8.261839840E0
1.744479583E0,-6.176006927E0,-5.499264221E0,5.307962036E-1,8.286538068E0
1.754505583E0,-6.025869141E0,-5.487139435E0,-1.121168518E-1,8.150605393E0
1.764531583E0,-6.023474121E0,-5.342091064E0,-4.340972900E-1,8.062792189E0
1.774557583E0,-6.157295837E0,-5.133275299E0,-2.404000854E-1,8.020012439E0
1.784583583E0,-6.201304321E0,-4.836741943E0,-1.841171265E-1,7.866647763E0
1.794609583E0,-6.260431366E0,-4.682412872E0,-3.442840576E-1,7.825376841E0
